"CS1","CS2","CS3","CS4"
0.0296990326578793,0.00119591259475249,-0.0721978437198786,0.0131783536958345
-0.891250314500282,0.211670590027607,0.159344841832799,0.0150604794510491
0.378750300118093,0.82832125548186,0.156589432177406,-0.0568559927983215
0.022063859759133,-0.0445833010348808,-0.0518416473153126,0.025453820344846
0.0609077444794172,-0.162401318340861,0.243192607132701,-0.225153166551866
0.00314587924921629,-0.00783360398574947,8.80841151154114e-05,-0.00859921503003487
0.197049597252524,-0.422604580951,0.461971460675951,-0.15892062044448
0.101691209792692,-0.206193196843389,0.168991895842582,0.137821961588885
0.00918089838178733,-0.0950954534551184,-0.723784304576114,-0.529557451938321
0.0887617930188266,-0.102476304640937,-0.342354528616741,0.787571816125871
