"CS1","CS2","CS3"
0.0296990326578793,0.00119591259475249,-0.0721978437198786
-0.891250314500282,0.211670590027607,0.159344841832799
0.378750300118093,0.82832125548186,0.156589432177406
0.022063859759133,-0.0445833010348808,-0.0518416473153126
0.0609077444794172,-0.162401318340861,0.243192607132701
0.00314587924921629,-0.00783360398574947,8.80841151154114e-05
0.197049597252524,-0.422604580951,0.461971460675951
0.101691209792692,-0.206193196843389,0.168991895842582
0.00918089838178733,-0.0950954534551184,-0.723784304576114
0.0887617930188266,-0.102476304640937,-0.342354528616741
